batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
0,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
1,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
2,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
3,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
4,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
5,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
6,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
7,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
8,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
9,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
10,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
11,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
12,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
13,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
14,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
15,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
16,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
17,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
18,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
19,0.1999123191582639,0.02716541032570047,0.44079885877318115,0.0032532532532532532,0.025499231950844855
